Unnamed: 0,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand.1,period,exponential period,degree,period_nonlinear,actual first rem,Qval
"(199, 3)",30.0,0.5,0.0,3,3.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,3.0,134.79868923500001
"(199, 5)",15.0,3.0,3.0,0,0.0,3.0,5.0,6.0,0.301194211912,0.0,0.301194211912,3.0,90.358263573700015
"(199, 6)",15.0,1.0,3.0,0,0.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,3.0,134.79868923500001
"(200, 0)",15.0,0.5,0.0,3,3.0,2.5,5.0,3.0,0.548811636094,0.75,0.548811636094,3.0,134.79868923500001
"(200, 2)",30.0,4.0,0.0,3,3.0,3.5,5.0,8.0,0.201896517995,0.0,0.201896517995,3.0,60.5689553984
"(200, 3)",15.0,0.5,0.0,3,3.0,2.5,5.0,3.0,0.548811636094,0.75,0.548811636094,3.0,134.79868923500001
"(200, 5)",15.0,3.0,3.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,73.979089182500005
"(200, 6)",15.0,1.0,3.0,0,0.0,3.5,5.0,5.0,0.367879441171,0.0,0.367879441171,3.0,110.363832351
"(203, 0)",30.0,0.5,0.0,3,3.0,6.5,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,60.5689553984
"(203, 3)",30.0,0.5,0.0,3,3.0,6.5,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,60.5689553984
"(203, 5)",15.0,3.0,3.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0,0.110803158362,3.0,33.240947508699996
"(203, 6)",15.0,1.0,3.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0,0.165298888222,3.0,49.589666466499999
"(205, 0)",50.0,0.5,0.0,3,5.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,5.0,224.66448205900002
"(205, 2)",50.0,4.0,0.0,3,5.0,3.0,5.0,7.0,0.246596963942,0.0,0.246596963942,5.0,100.94825899700001
"(205, 3)",50.0,0.5,0.0,3,5.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,5.0,224.66448205900002
"(205, 5)",25.0,3.0,5.0,0,0.0,3.0,5.0,6.0,0.301194211912,0.0,0.301194211912,5.0,150.59710595600001
"(205, 6)",25.0,1.0,5.0,0,0.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,5.0,224.66448205900002
"(206, 0)",50.0,0.5,0.0,3,5.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(206, 3)",50.0,0.5,0.0,3,5.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(206, 5)",25.0,3.0,5.0,0,0.0,7.0,5.0,10.0,0.135335283237,0.0,0.135335283237,5.0,67.667641618299996
"(206, 6)",25.0,1.0,5.0,0,0.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(213, 1)",30.0,1.5,0.0,3,3.0,6.0,5.0,8.0,0.201896517995,0.0,0.201896517995,3.0,60.5689553984
"(213, 5)",15.0,3.0,3.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0,0.165298888222,3.0,49.589666466499999
"(213, 6)",15.0,1.0,3.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,73.979089182500005
"(214, 2)",20.0,4.0,0.0,3,2.0,2.5,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,40.379303598900002
"(214, 4)",20.0,1.0,0.0,3,2.0,2.5,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,73.57588823430001
"(214, 5)",10.0,3.0,2.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0,0.301194211912,2.0,60.238842382399994
"(214, 6)",10.0,1.0,2.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,89.8657928234
"(215, 0)",20.0,0.5,2.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,49.3193927883
"(215, 1)",20.0,1.5,2.0,0,0.0,6.0,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,40.379303598900002
"(215, 3)",40.0,0.5,0.0,3,2.0,6.0,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,49.3193927883
"(215, 5)",40.0,3.0,0.0,3,2.0,6.0,5.0,9.0,0.165298888222,0.0,0.165298888222,2.0,27.067056647299999
"(217, 0)",5.0,0.5,0.0,3,1.0,4.0,5.0,5.0,0.367879441171,0.75,0.367879441171,1.0,36.787944117100004
"(217, 1)",0.0,1.5,1.0,0,0.0,4.0,5.0,6.0,0.301194211912,0.0,0.301194211912,1.0,30.119421191199997
"(217, 2)",5.0,4.0,0.0,3,1.0,4.0,5.0,8.0,0.201896517995,0.75,0.201896517995,1.0,16.5298888222
"(217, 3)",5.0,0.5,0.0,3,1.0,4.0,5.0,5.0,0.367879441171,0.75,0.367879441171,1.0,36.787944117100004
"(217, 4)",0.0,1.0,0.0,3,1.0,4.0,5.0,5.0,0.367879441171,0.0,0.367879441171,1.0,30.119421191199997
"(218, 0)",10.0,0.5,1.0,0,0.0,8.0,5.0,9.0,0.165298888222,0.0,0.165298888222,1.0,16.5298888222
"(218, 1)",10.0,1.5,1.0,0,0.0,8.0,5.0,10.0,0.135335283237,0.0,0.135335283237,1.0,13.533528323699999
