Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1,Qval
"(475, 4)",1,14.0,1,3.0,3,2.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(475, 5)",1,14.0,3,3.0,5,2.0,0.818730753078,0.818730753078,3.0,239.682797642
"(476, 1)",1,24.0,3,3.0,7,2.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(476, 2)",1,24.0,3,3.0,7,2.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(476, 4)",1,24.0,1,3.0,5,2.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(476, 5)",1,24.0,3,3.0,7,2.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(478, 3)",1,27.0,2,3.0,9,1.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(478, 4)",1,27.0,1,3.0,8,1.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(478, 5)",1,0.0,3,3.0,10,1.0,0.818730753078,0.670320046036,0.0,164.64349082799998
"(478, 6)",1,27.0,1,3.0,8,1.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(482, 0)",1,5.0,1,1.0,5,5.0,0.818730753078,0.818730753078,0.0,81.873075307799994
"(482, 1)",1,5.0,3,1.0,7,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(482, 2)",1,10.0,3,1.0,7,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(482, 5)",1,10.0,3,1.0,7,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(483, 0)",1,5.0,1,1.0,8,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(483, 1)",1,5.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(483, 2)",1,10.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,54.881163609399998
"(486, 0)",1,5.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(486, 1)",1,5.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(486, 3)",1,10.0,2,1.0,9,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(486, 4)",1,10.0,1,1.0,8,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(487, 0)",1,10.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(487, 3)",1,10.0,2,1.0,9,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(487, 5)",1,5.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(487, 6)",1,5.0,1,1.0,8,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(489, 0)",1,5.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(489, 1)",1,5.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(489, 5)",1,10.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,54.881163609399998
"(490, 0)",1,0.0,1,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(490, 2)",1,0.0,3,3.0,9,5.0,0.670320046036,0.670320046036,0.0,201.09601381099998
"(490, 4)",1,15.0,1,3.0,7,5.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(490, 6)",1,15.0,1,3.0,7,5.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(492, 0)",1,20.0,1,4.0,7,5.0,0.670320046036,0.670320046036,0.0,268.128018414
"(492, 1)",1,20.0,3,4.0,9,5.0,0.670320046036,0.670320046036,0.0,268.128018414
"(492, 2)",1,40.0,3,4.0,9,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(492, 4)",1,40.0,1,4.0,7,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(497, 0)",1,15.0,1,3.0,7,5.0,0.670320046036,0.670320046036,0.0,201.09601381099998
"(497, 1)",1,15.0,3,3.0,9,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(497, 4)",1,30.0,1,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(497, 5)",1,30.0,3,3.0,9,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(504, 0)",1,3.33333333333,1,4.0,5,5.0,0.818730753078,0.818730753078,0.0,268.128018414
"(504, 1)",1,3.33333333333,3,4.0,7,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(504, 2)",1,6.66666666667,3,4.0,7,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(504, 3)",1,6.66666666667,2,4.0,6,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(504, 4)",1,6.66666666667,1,4.0,5,5.0,0.818730753078,0.818730753078,0.0,268.128018414
"(505, 1)",1,10.0,3,4.0,8,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(505, 2)",1,10.0,3,4.0,8,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(505, 3)",1,10.0,2,4.0,7,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(505, 4)",1,20.0,1,4.0,6,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(512, 2)",1,40.0,3,4.0,9,5.0,0.670320046036,0.670320046036,0.0,268.128018414
"(512, 4)",1,40.0,1,4.0,7,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(512, 5)",1,20.0,3,4.0,9,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(512, 6)",1,20.0,1,4.0,7,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(515, 0)",1,40.0,1,4.0,8,5.0,0.670320046036,0.670320046036,0.0,268.128018414
"(515, 3)",1,40.0,2,4.0,9,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(515, 5)",1,20.0,3,4.0,10,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(515, 6)",1,20.0,1,4.0,8,5.0,0.818730753078,0.670320046036,0.0,268.128018414
"(520, 0)",1,40.0,1,4.0,10,5.0,0.670320046036,0.670320046036,0.0,219.524654438
"(520, 5)",1,20.0,3,4.0,12,5.0,0.670320046036,0.548811636094,0.0,219.524654438
"(520, 6)",1,20.0,1,4.0,10,5.0,0.818730753078,0.670320046036,0.0,268.128018414
