,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(93, 5)",1,5.0,3,1.0,12,5.0,0.818730753078,0.548811636094,0.0
"(93, 6)",1,5.0,1,1.0,10,5.0,0.670320046036,0.670320046036,0.0
"(96, 2)",1,30.0,3,3.0,10,5.0,0.670320046036,0.670320046036,0.0
"(96, 5)",1,15.0,3,3.0,10,5.0,0.818730753078,0.670320046036,0.0
"(96, 6)",1,15.0,1,3.0,8,5.0,0.670320046036,0.670320046036,0.0
"(97, 5)",1,15.0,3,3.0,13,5.0,0.670320046036,0.548811636094,0.0
"(97, 6)",1,15.0,1,3.0,11,5.0,0.818730753078,0.548811636094,0.0
"(99, 1)",1,10.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0
"(99, 4)",1,10.0,1,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(99, 5)",1,5.0,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(99, 6)",1,5.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0
"(103, 1)",1,5.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(103, 2)",1,5.0,3,2.0,9,5.0,0.670320046036,0.670320046036,0.0
"(103, 3)",1,5.0,2,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(105, 1)",1,2.5,3,1.0,8,5.0,0.818730753078,0.670320046036,0.0
"(105, 2)",1,2.5,3,1.0,8,5.0,0.818730753078,0.670320046036,0.0
"(105, 3)",1,2.5,2,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(105, 4)",1,5.0,1,1.0,6,5.0,0.818730753078,0.670320046036,0.0
"(107, 1)",1,30.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(107, 2)",1,30.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(107, 5)",1,15.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(107, 6)",1,15.0,1,3.0,5,5.0,0.818730753078,0.818730753078,0.0
"(109, 0)",1,20.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(109, 2)",1,20.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(109, 5)",1,10.0,3,2.0,9,5.0,0.670320046036,0.670320046036,0.0
"(109, 6)",1,10.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(113, 0)",1,20.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(113, 3)",1,20.0,2,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(113, 5)",1,10.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(113, 6)",1,10.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(115, 1)",1,20.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(115, 4)",1,20.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(115, 5)",1,10.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(115, 6)",1,10.0,1,2.0,7,5.0,0.670320046036,0.670320046036,0.0
"(119, 1)",1,10.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0
"(119, 5)",1,5.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0
"(119, 6)",1,5.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0
"(120, 0)",1,0.0,1,3.0,10,3.0,0.670320046036,0.670320046036,0.0
"(120, 3)",1,21.0,2,3.0,11,3.0,0.818730753078,0.548811636094,3.0
"(120, 4)",1,21.0,1,3.0,10,3.0,0.670320046036,0.670320046036,3.0
"(120, 6)",1,21.0,1,3.0,10,3.0,0.670320046036,0.670320046036,3.0
"(122, 5)",1,5.0,3,1.0,13,5.0,0.670320046036,0.548811636094,0.0
"(122, 6)",1,5.0,1,1.0,11,5.0,0.670320046036,0.548811636094,0.0
"(124, 4)",1,20.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(124, 5)",1,10.0,3,2.0,12,5.0,0.818730753078,0.548811636094,0.0
"(124, 6)",1,10.0,1,2.0,10,5.0,0.818730753078,0.670320046036,0.0
"(125, 0)",1,10.0,1,2.0,9,5.0,0.670320046036,0.670320046036,0.0
"(125, 1)",1,10.0,3,2.0,11,5.0,0.818730753078,0.548811636094,0.0
"(125, 3)",1,20.0,2,2.0,10,5.0,0.818730753078,0.670320046036,0.0
"(126, 0)",1,10.0,1,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(126, 4)",1,10.0,1,1.0,9,5.0,0.818730753078,0.670320046036,0.0
"(126, 5)",1,5.0,3,1.0,11,5.0,0.670320046036,0.548811636094,0.0
"(126, 6)",1,5.0,1,1.0,9,5.0,0.818730753078,0.670320046036,0.0
"(128, 0)",1,7.5,1,3.0,4,4.0,0.818730753078,0.818730753078,0.0
