,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(87, 5)",20.0,3,4.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(87, 6)",20.0,1,4.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(88, 0)",40.0,1,0.0,3,4.0,6,5.0,1.0,0.818730753078,0.0
"(88, 2)",40.0,3,0.0,3,4.0,6,5.0,3.0,0.548811636094,0.0
"(88, 5)",20.0,3,4.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(88, 6)",20.0,1,4.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(89, 0)",40.0,1,0.0,3,4.0,9,5.0,1.0,0.818730753078,0.0
"(89, 5)",20.0,3,4.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(89, 6)",20.0,1,4.0,0,0.0,9,5.0,5.0,0.367879441171,0.0
"(92, 0)",15.0,1,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.75
"(92, 2)",15.0,3,0.0,3,3.0,4,5.0,2.0,0.670320046036,0.75
"(92, 3)",15.0,2,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.75
"(92, 5)",15.0,3,3.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(92, 6)",15.0,1,3.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(93, 0)",30.0,1,0.0,3,3.0,7,5.0,1.0,0.818730753078,0.0
"(93, 3)",30.0,2,0.0,3,3.0,7,5.0,1.0,0.818730753078,0.0
"(93, 5)",15.0,3,3.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(93, 6)",15.0,1,3.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(95, 0)",50.0,1,0.0,3,5.0,7,5.0,4.0,0.449328964117,0.0
"(95, 3)",50.0,2,0.0,3,5.0,7,5.0,1.0,0.818730753078,0.0
"(95, 5)",25.0,3,5.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(95, 6)",25.0,1,5.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(98, 4)",30.0,1,0.0,3,3.0,9,5.0,1.0,0.818730753078,0.0
"(98, 5)",15.0,3,3.0,0,0.0,9,5.0,5.0,0.367879441171,0.0
"(98, 6)",15.0,1,3.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(100, 1)",20.0,3,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(100, 4)",20.0,1,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(100, 5)",10.0,3,2.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(100, 6)",10.0,1,2.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(102, 2)",30.0,3,0.0,3,3.0,7,5.0,1.0,0.818730753078,0.0
"(102, 5)",15.0,3,3.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(102, 6)",15.0,1,3.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(106, 0)",1.66666666667,1,0.0,3,2.0,4,5.0,2.0,0.670320046036,0.75
"(106, 1)",1.66666666667,3,2.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(106, 2)",3.33333333333,3,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(106, 3)",3.33333333333,2,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(106, 4)",3.33333333333,1,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.0
"(107, 1)",5.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(107, 2)",5.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(107, 3)",5.0,2,2.0,0,0.0,5,5.0,3.0,0.548811636094,0.0
"(107, 4)",10.0,1,0.0,3,2.0,5,5.0,3.0,0.548811636094,0.0
"(109, 0)",50.0,1,0.0,3,5.0,6,5.0,1.0,0.818730753078,0.0
"(109, 2)",50.0,3,0.0,3,5.0,6,5.0,1.0,0.818730753078,0.0
"(109, 5)",25.0,3,5.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(109, 6)",25.0,1,5.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(113, 1)",40.0,3,0.0,3,4.0,7,5.0,4.0,0.449328964117,0.0
"(113, 5)",20.0,3,4.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(113, 6)",20.0,1,4.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(117, 0)",0.0,1,0.0,3,3.0,1,5.0,1.0,0.818730753078,0.75
"(117, 1)",5.0,3,4.0,0,0.0,1,5.0,1.0,0.818730753078,1.0
"(117, 3)",0.0,2,0.0,3,3.0,1,5.0,1.0,0.818730753078,0.75
"(117, 4)",5.0,1,0.0,3,4.0,1,5.0,1.0,0.818730753078,1.0
"(117, 5)",5.0,3,0.0,3,5.0,1,5.0,1.0,0.818730753078,1.0
"(120, 2)",0.0,3,0.0,3,3.0,7,5.0,4.0,0.449328964117,0.0
"(120, 3)",15.0,2,5.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(120, 4)",15.0,1,5.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(120, 6)",15.0,1,3.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(121, 3)",15.0,2,2.0,0,0.0,10,5.0,1.0,0.818730753078,0.75
"(121, 4)",15.0,1,1.0,0,0.0,10,5.0,5.0,0.367879441171,0.75
"(121, 6)",15.0,1,3.0,0,0.0,10,5.0,1.0,0.818730753078,0.75
"(122, 1)",20.0,3,0.0,3,2.0,5,5.0,3.0,0.548811636094,0.0
"(122, 3)",20.0,2,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(122, 5)",10.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(122, 6)",10.0,1,2.0,0,0.0,5,5.0,3.0,0.548811636094,0.0
"(124, 4)",20.0,1,0.0,3,2.0,9,5.0,1.0,0.818730753078,0.0
"(124, 5)",10.0,3,2.0,0,0.0,9,5.0,5.0,0.367879441171,0.0
"(124, 6)",10.0,1,2.0,0,0.0,9,5.0,5.0,0.367879441171,0.0
"(126, 1)",8.5,3,5.0,0,0.0,2,3.0,1.0,0.818730753078,1.0
"(126, 2)",8.5,3,5.0,0,0.0,2,3.0,1.0,0.818730753078,1.0
"(126, 3)",2.5,2,0.0,3,3.0,2,3.0,1.0,0.818730753078,0.0
"(126, 4)",11.0,1,2.0,0,0.0,2,3.0,1.0,0.818730753078,1.0
"(126, 5)",11.0,3,1.0,0,0.0,2,3.0,1.0,0.818730753078,1.0
"(128, 1)",7.5,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(128, 2)",7.5,3,3.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(128, 3)",7.5,2,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(130, 3)",18.0,2,1.0,3,3.0,7,4.0,4.0,0.449328964117,0.75
"(130, 4)",18.0,1,1.0,0,0.0,7,4.0,1.0,0.818730753078,0.75
"(130, 5)",0.0,3,0.0,3,3.0,7,4.0,4.0,0.449328964117,0.0
"(130, 6)",18.0,1,4.0,0,0.0,7,4.0,4.0,0.449328964117,0.75
"(132, 0)",7.5,1,0.0,3,3.0,3,5.0,1.0,0.818730753078,0.0
"(132, 1)",0.0,3,3.0,0,0.0,3,5.0,2.0,0.670320046036,1.0
"(132, 2)",7.5,3,0.0,3,3.0,3,5.0,1.0,0.818730753078,1.0
"(132, 4)",7.5,1,0.0,3,3.0,3,5.0,2.0,0.670320046036,1.0
"(132, 5)",7.5,3,0.0,3,5.0,3,5.0,1.0,0.818730753078,1.0
"(133, 0)",15.0,1,3.0,0,0.0,4,5.0,2.0,0.670320046036,0.0
"(133, 1)",15.0,3,3.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(133, 2)",30.0,3,0.0,3,3.0,4,5.0,2.0,0.670320046036,0.0
"(133, 5)",30.0,3,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.0
"(136, 0)",25.0,1,5.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(136, 1)",25.0,3,5.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(136, 2)",50.0,3,0.0,3,5.0,6,5.0,1.0,0.818730753078,0.0
"(136, 4)",50.0,1,0.0,3,5.0,6,5.0,3.0,0.548811636094,0.0
"(137, 0)",25.0,1,5.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(137, 1)",25.0,3,5.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(137, 2)",50.0,3,0.0,3,5.0,7,5.0,1.0,0.818730753078,0.0
"(139, 1)",20.0,3,0.0,3,2.0,7,5.0,4.0,0.449328964117,0.0
"(139, 5)",10.0,3,2.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(139, 6)",10.0,1,2.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(143, 2)",50.0,3,0.0,3,5.0,7,5.0,1.0,0.818730753078,0.0
"(143, 5)",25.0,3,5.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
