,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(221, 3)",1,39.0,0.5,3.0,6.0,1.0,0.301194211912,0.301194211912,6.33333333333,4.0,27.0,3.0
"(221, 4)",1,39.0,1.0,3.0,6.5,1.0,0.818730753078,0.246596963942,6.33333333333,4.0,27.0,3.0
"(221, 5)",1,0.0,3.0,3.0,8.5,1.0,0.301194211912,0.165298888222,3.0,4.0,0.0,0.0
"(221, 6)",1,39.0,1.0,3.0,6.5,1.0,0.818730753078,0.246596963942,5.33333333333,4.0,27.0,3.0
"(223, 3)",1,27.0,0.5,3.0,6.5,3.0,0.818730753078,0.246596963942,6.33333333333,4.0,21.0,3.0
"(223, 4)",1,27.0,1.0,3.0,7.0,3.0,0.301194211912,0.246596963942,6.33333333333,4.0,21.0,3.0
"(223, 5)",1,0.0,3.0,3.0,9.0,3.0,0.301194211912,0.165298888222,3.0,4.0,0.0,0.0
"(223, 6)",1,27.0,1.0,3.0,7.0,3.0,0.818730753078,0.246596963942,5.33333333333,4.0,21.0,3.0
"(225, 0)",1,20.0,0.5,4.0,5.5,5.0,0.367879441171,0.301194211912,8.0,4.0,0.0,0.0
"(225, 1)",1,0.0,1.5,4.0,6.5,5.0,0.818730753078,0.246596963942,4.0,4.0,20.0,0.0
"(225, 2)",1,20.0,4.0,4.0,9.0,5.0,0.367879441171,0.165298888222,8.0,4.0,20.0,0.0
"(225, 3)",1,20.0,0.5,4.0,5.5,5.0,0.818730753078,0.301194211912,8.0,4.0,20.0,0.0
"(226, 0)",1,0.0,0.5,4.0,6.0,5.0,0.818730753078,0.301194211912,4.0,2.0,0.0,0.0
"(226, 1)",1,40.0,1.5,4.0,7.0,5.0,0.818730753078,0.246596963942,4.0,2.0,20.0,0.0
"(226, 2)",1,40.0,4.0,4.0,9.5,5.0,0.301194211912,0.135335283237,4.0,2.0,20.0,0.0
"(226, 3)",1,40.0,0.5,4.0,6.0,5.0,0.301194211912,0.301194211912,4.0,2.0,20.0,0.0
"(228, 0)",1,5.0,0.5,1.0,2.5,5.0,0.670320046036,0.548811636094,8.0,4.0,0.0,0.0
"(228, 1)",1,0.0,1.5,1.0,3.5,5.0,0.818730753078,0.449328964117,4.0,4.0,5.0,0.0
"(228, 2)",1,5.0,4.0,1.0,6.0,5.0,0.818730753078,0.301194211912,8.0,4.0,5.0,0.0
"(228, 3)",1,5.0,0.5,1.0,2.5,5.0,0.818730753078,0.548811636094,8.0,4.0,5.0,0.0
"(228, 5)",1,0.0,3.0,1.0,5.0,5.0,0.818730753078,0.367879441171,4.0,4.0,10.0,0.0
"(229, 0)",1,0.0,0.5,1.0,3.0,5.0,0.548811636094,0.548811636094,4.0,2.0,0.0,0.0
"(229, 1)",1,10.0,1.5,1.0,4.0,5.0,0.548811636094,0.449328964117,4.0,2.0,5.0,0.0
"(229, 2)",1,10.0,4.0,1.0,6.5,5.0,0.818730753078,0.246596963942,4.0,2.0,5.0,0.0
"(229, 3)",1,10.0,0.5,1.0,3.0,5.0,0.818730753078,0.548811636094,4.0,2.0,5.0,0.0
"(229, 5)",1,20.0,3.0,1.0,5.5,5.0,0.548811636094,0.301194211912,4.0,2.0,10.0,0.0
"(240, 0)",1,40.0,0.5,4.0,9.5,5.0,0.165298888222,0.135335283237,4.0,2.0,20.0,0.0
