,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(109, 4)",24.0,1,3.0,0,0.0,6,2.0,1.0,0.818730753078,0.75
"(109, 6)",24.0,1,5.0,0,0.0,6,2.0,2.0,0.670320046036,0.75
"(112, 1)",0.0,3,0.0,3,3.0,4,4.0,1.0,0.818730753078,0.0
"(112, 2)",0.0,3,0.0,3,3.0,4,4.0,1.0,0.818730753078,0.0
"(112, 3)",10.5,2,5.0,0,0.0,4,4.0,1.0,0.818730753078,0.75
"(112, 4)",10.5,1,1.0,0,0.0,4,4.0,1.0,0.818730753078,0.75
"(112, 6)",10.5,1,1.0,3,3.0,4,4.0,1.0,0.818730753078,0.75
"(113, 1)",0.0,3,0.0,3,3.0,7,4.0,1.0,0.818730753078,0.0
"(113, 3)",18.0,2,2.0,0,0.0,7,4.0,1.0,0.818730753078,0.75
"(113, 4)",18.0,1,3.0,0,0.0,7,4.0,1.0,0.818730753078,0.75
"(113, 6)",18.0,1,5.0,0,0.0,7,4.0,2.0,0.670320046036,0.75
"(119, 2)",0.0,3,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.0
"(119, 3)",15.0,2,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.75
"(119, 4)",15.0,1,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(119, 5)",0.0,3,0.0,3,3.0,4,5.0,1.0,0.818730753078,0.0
"(119, 6)",15.0,1,3.0,0,0.0,4,5.0,1.0,0.818730753078,0.75
"(120, 2)",30.0,3,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(120, 4)",30.0,1,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(120, 5)",15.0,3,3.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(120, 6)",15.0,1,3.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(124, 1)",10.0,3,4.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(124, 2)",10.0,3,4.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(124, 3)",10.0,2,4.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(124, 4)",20.0,1,0.0,3,4.0,5,5.0,1.0,0.818730753078,0.0
"(126, 4)",30.0,1,0.0,3,3.0,9,5.0,1.0,0.818730753078,0.0
"(126, 5)",15.0,3,3.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(126, 6)",15.0,1,3.0,0,0.0,9,5.0,2.0,0.670320046036,0.0
"(129, 0)",7.5,1,0.0,3,3.0,3,1.0,1.0,0.818730753078,0.0
"(129, 1)",12.0,3,5.0,0,0.0,3,1.0,1.0,0.818730753078,1.0
"(129, 2)",19.5,3,3.0,0,0.0,3,1.0,1.0,0.818730753078,1.0
"(129, 4)",19.5,1,3.0,0,0.0,3,1.0,1.0,0.818730753078,1.0
"(129, 5)",19.5,3,4.0,3,1.0,3,1.0,1.0,0.818730753078,1.0
"(137, 2)",0.0,3,0.0,3,3.0,7,5.0,2.0,0.670320046036,0.0
"(137, 3)",15.0,2,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.75
"(137, 4)",15.0,1,2.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(137, 6)",15.0,1,3.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(138, 3)",15.0,2,2.0,0,0.0,10,5.0,2.0,0.670320046036,0.75
"(138, 4)",15.0,1,1.0,0,0.0,10,5.0,2.0,0.670320046036,0.75
"(138, 6)",15.0,1,4.0,0,0.0,10,5.0,1.0,0.818730753078,0.75
"(142, 2)",20.0,3,0.0,3,2.0,7,5.0,2.0,0.670320046036,0.0
"(142, 5)",10.0,3,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(142, 6)",10.0,1,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(152, 0)",5.0,1,1.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(152, 1)",5.0,3,1.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(152, 2)",10.0,3,0.0,3,1.0,6,5.0,2.0,0.670320046036,0.0
"(152, 4)",10.0,1,0.0,3,1.0,6,5.0,1.0,0.818730753078,0.0
"(153, 0)",5.0,1,1.0,0,0.0,9,5.0,2.0,0.670320046036,0.0
"(153, 1)",5.0,3,1.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(153, 4)",10.0,1,0.0,3,1.0,9,5.0,2.0,0.670320046036,0.0
"(154, 0)",5.0,1,1.0,0,0.0,10,5.0,1.0,0.818730753078,0.0
"(154, 1)",5.0,3,1.0,0,0.0,10,5.0,2.0,0.670320046036,0.0
"(156, 0)",0.0,1,0.0,3,3.0,9,2.0,2.0,0.670320046036,0.0
"(156, 3)",24.0,2,5.0,0,0.0,9,2.0,1.0,0.818730753078,0.75
