,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(120, 1)",20.0,1.5,2.0,0,0.0,9.5,5.0,11.0,0.110803158362,0.0
"(124, 0)",20.0,0.5,2.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(124, 1)",20.0,1.5,2.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.0
"(124, 2)",40.0,4.0,0.0,3,2.0,4.5,5.0,9.0,0.165298888222,0.0
"(124, 3)",20.0,0.5,2.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(124, 4)",40.0,1.0,0.0,3,2.0,4.5,5.0,6.0,0.301194211912,0.0
"(126, 0)",10.0,0.5,0.0,3,1.0,3.0,5.0,4.0,0.449328964117,0.0
"(126, 2)",10.0,4.0,0.0,3,1.0,3.0,5.0,7.0,0.246596963942,0.0
"(126, 3)",10.0,0.5,0.0,3,1.0,3.0,5.0,4.0,0.449328964117,0.0
"(126, 5)",5.0,3.0,1.0,0,0.0,3.0,5.0,6.0,0.301194211912,0.0
"(126, 6)",5.0,1.0,1.0,0,0.0,3.0,5.0,4.0,0.449328964117,0.0
"(135, 0)",25.0,0.5,0.0,3,5.0,2.5,5.0,3.0,0.548811636094,0.75
"(135, 2)",25.0,4.0,0.0,3,5.0,2.5,5.0,7.0,0.246596963942,0.75
"(135, 3)",25.0,0.5,0.0,3,5.0,2.5,5.0,3.0,0.548811636094,0.75
"(135, 5)",25.0,3.0,5.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(135, 6)",25.0,1.0,5.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(138, 1)",0.0,1.5,0.0,3,3.0,4.5,5.0,6.0,0.301194211912,0.0
"(138, 3)",15.0,0.5,0.0,3,5.0,4.5,5.0,5.0,0.367879441171,0.75
"(138, 4)",15.0,1.0,0.0,3,3.0,4.5,5.0,6.0,0.301194211912,0.75
"(138, 5)",0.0,3.0,0.0,3,3.0,4.5,5.0,8.0,0.201896517995,0.0
"(138, 6)",15.0,1.0,4.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.75
"(139, 1)",30.0,1.5,0.0,3,3.0,5.5,5.0,7.0,0.246596963942,0.0
"(139, 3)",30.0,0.5,0.0,3,3.0,5.5,5.0,6.0,0.301194211912,0.0
"(139, 5)",15.0,3.0,3.0,0,0.0,5.5,5.0,9.0,0.165298888222,0.0
"(139, 6)",15.0,1.0,3.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0
"(141, 0)",20.0,0.5,0.0,3,4.0,2.5,5.0,3.0,0.548811636094,0.75
"(141, 2)",40.0,4.0,0.0,3,4.0,3.5,5.0,8.0,0.201896517995,0.0
"(141, 3)",20.0,0.5,0.0,3,4.0,2.5,5.0,3.0,0.548811636094,0.75
"(141, 5)",20.0,3.0,4.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(141, 6)",20.0,1.0,4.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(144, 0)",10.0,0.5,1.0,0,0.0,8.5,5.0,9.0,0.165298888222,0.0
"(144, 1)",10.0,1.5,1.0,0,0.0,8.5,5.0,10.0,0.135335283237,0.0
"(144, 4)",20.0,1.0,0.0,3,1.0,8.5,5.0,10.0,0.135335283237,0.0
"(145, 0)",10.0,0.5,1.0,0,0.0,9.5,5.0,10.0,0.135335283237,0.0
"(145, 1)",10.0,1.5,1.0,0,0.0,9.5,5.0,11.0,0.110803158362,0.0
"(148, 0)",10.0,0.5,1.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0
"(148, 1)",10.0,1.5,1.0,0,0.0,6.0,5.0,8.0,0.201896517995,0.0
"(148, 3)",20.0,0.5,0.0,3,1.0,6.0,5.0,7.0,0.246596963942,0.0
"(148, 5)",20.0,3.0,0.0,3,1.0,6.0,5.0,9.0,0.165298888222,0.0
"(149, 0)",10.0,0.5,1.0,0,0.0,6.5,5.0,7.0,0.246596963942,0.0
"(149, 1)",10.0,1.5,1.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0
