Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1,Qval
"(3717, 1)",1,0.0,1.0,3.0,8.0,5.0,0.246596963942,0.201896517995,6.13333333333,5.0,0.0,0.0,49.589666466499999
"(3717, 2)",1,0.0,3.0,3.0,10.0,5.0,0.818730753078,0.135335283237,10.2666666667,5.0,0.0,0.0,33.240947508699996
"(3717, 4)",1,0.0,1.0,3.0,8.0,5.0,0.818730753078,0.201896517995,10.2666666667,5.0,0.0,0.0,49.589666466499999
"(3717, 8)",1,0.0,4.0,3.0,11.0,5.0,0.818730753078,0.110803158362,6.13333333333,5.0,0.0,0.0,27.215385986799998
"(3717, 10)",1,30.0,1.0,3.0,8.0,5.0,0.818730753078,0.201896517995,10.2666666667,5.0,15.0,0.0,60.5689553984
"(3717, 11)",1,30.0,1.0,3.0,8.0,5.0,0.818730753078,0.201896517995,10.2666666667,5.0,15.0,3.0,60.5689553984
"(3717, 13)",1,30.0,0.5,3.0,7.5,5.0,0.818730753078,0.201896517995,10.2666666667,5.0,15.0,0.0,60.5689553984
"(3723, 0)",1,0.0,4.0,3.0,15.0,3.0,0.818730753078,0.0497870683679,4.0,4.0,0.0,0.0,12.228661193499999
"(3723, 3)",1,0.0,1.0,3.0,12.0,3.0,0.818730753078,0.0907179532894,4.0,4.0,0.0,0.0,22.282073464299998
"(3723, 7)",1,0.0,4.0,3.0,15.0,3.0,0.110803158362,0.0497870683679,3.0,4.0,0.0,0.0,12.228661193499999
"(3723, 10)",1,42.0,1.0,3.0,12.0,3.0,0.110803158362,0.0907179532894,6.33333333333,4.0,21.0,0.0,27.215385986799998
"(3723, 11)",1,42.0,1.0,3.0,12.0,3.0,0.818730753078,0.0907179532894,6.33333333333,4.0,21.0,3.0,27.215385986799998
"(3723, 13)",1,42.0,0.5,3.0,11.5,3.0,0.110803158362,0.0907179532894,6.33333333333,4.0,21.0,0.0,27.215385986799998
"(3761, 0)",1,0.0,4.0,3.0,15.0,2.0,0.110803158362,0.0497870683679,5.33333333333,4.0,0.0,0.0,12.228661193499999
"(3761, 2)",1,0.0,3.0,3.0,14.0,2.0,0.818730753078,0.0608100626252,5.33333333333,4.0,0.0,0.0,14.9361205104
"(3761, 3)",1,0.0,1.0,3.0,12.0,2.0,0.110803158362,0.0907179532894,5.33333333333,4.0,0.0,0.0,22.282073464299998
"(3761, 5)",1,0.0,1.0,3.0,12.0,2.0,0.818730753078,0.0907179532894,8.66666666667,6.0,0.0,0.0,22.282073464299998
"(3761, 10)",1,48.0,1.0,3.0,12.0,2.0,0.818730753078,0.0907179532894,6.33333333333,4.0,24.0,0.0,27.215385986799998
"(3761, 11)",1,48.0,1.0,3.0,12.0,2.0,0.818730753078,0.0907179532894,6.33333333333,4.0,24.0,3.0,26.308206453899999
"(3761, 13)",1,48.0,0.5,3.0,11.5,2.0,0.818730753078,0.0907179532894,6.33333333333,4.0,24.0,0.0,27.215385986799998
"(3761, 14)",1,48.0,1.0,3.0,12.0,2.0,0.818730753078,0.0907179532894,6.33333333333,4.0,24.0,0.0,27.215385986799998
"(3775, 1)",1,0.0,1.0,3.0,9.0,1.0,0.818730753078,0.165298888222,8.13333333333,7.33333333333,0.0,0.0,40.600584970999996
"(3775, 3)",1,0.0,1.0,3.0,9.0,1.0,0.818730753078,0.165298888222,9.13333333333,6.66666666667,0.0,0.0,40.600584970999996
"(3775, 4)",1,0.0,1.0,3.0,9.0,1.0,0.201896517995,0.165298888222,14.2666666667,6.66666666667,0.0,0.0,40.600584970999996
"(3775, 9)",1,0.0,1.0,3.0,9.0,1.0,0.818730753078,0.165298888222,9.13333333333,6.66666666667,0.0,0.0,40.600584970999996
"(3775, 11)",1,54.0,1.0,3.0,9.0,1.0,0.818730753078,0.165298888222,14.2666666667,7.33333333333,27.0,3.0,49.589666466499999
"(3775, 13)",1,54.0,0.5,3.0,8.5,1.0,0.818730753078,0.165298888222,14.2666666667,7.33333333333,27.0,0.0,49.589666466499999
"(3776, 1)",1,0.0,1.0,3.0,10.0,1.0,0.818730753078,0.135335283237,8.13333333333,7.33333333333,0.0,0.0,33.240947508699996
"(3776, 3)",1,0.0,1.0,3.0,10.0,1.0,0.165298888222,0.135335283237,9.13333333333,6.66666666667,0.0,0.0,33.240947508699996
"(3776, 9)",1,0.0,1.0,3.0,10.0,1.0,0.818730753078,0.135335283237,9.13333333333,6.66666666667,0.0,0.0,33.240947508699996
"(3776, 11)",1,54.0,1.0,3.0,10.0,1.0,0.818730753078,0.135335283237,14.2666666667,7.33333333333,27.0,3.0,39.247232138600005
"(3776, 13)",1,54.0,0.5,3.0,9.5,1.0,0.818730753078,0.135335283237,14.2666666667,7.33333333333,27.0,0.0,40.600584970999996
"(3777, 1)",1,0.0,1.0,3.0,11.0,1.0,0.818730753078,0.110803158362,6.13333333333,5.0,0.0,0.0,27.215385986799998
"(3777, 8)",1,0.0,4.0,3.0,14.0,1.0,0.818730753078,0.0608100626252,6.13333333333,5.0,0.0,0.0,14.9361205104
"(3777, 9)",1,0.0,1.0,3.0,11.0,1.0,0.818730753078,0.110803158362,10.2666666667,5.0,0.0,0.0,27.215385986799998
"(3777, 10)",1,54.0,1.0,3.0,11.0,1.0,0.135335283237,0.110803158362,10.2666666667,5.0,27.0,0.0,33.240947508699996
"(3777, 11)",1,54.0,1.0,3.0,11.0,1.0,0.818730753078,0.110803158362,10.2666666667,5.0,27.0,3.0,33.240947508699996
"(3777, 13)",1,54.0,0.5,3.0,10.5,1.0,0.818730753078,0.110803158362,10.2666666667,5.0,27.0,0.0,33.240947508699996
"(3789, 1)",1,0.0,1.0,3.0,9.0,5.0,0.201896517995,0.165298888222,6.13333333333,5.0,0.0,0.0,40.600584970999996
"(3789, 2)",1,0.0,3.0,3.0,11.0,5.0,0.201896517995,0.110803158362,10.2666666667,5.0,0.0,0.0,27.215385986799998
"(3789, 8)",1,0.0,4.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,6.13333333333,5.0,0.0,0.0,22.282073464299998
"(3789, 10)",1,30.0,1.0,3.0,9.0,5.0,0.201896517995,0.165298888222,10.2666666667,5.0,15.0,0.0,49.589666466499999
"(3789, 11)",1,30.0,1.0,3.0,9.0,5.0,0.818730753078,0.165298888222,10.2666666667,5.0,15.0,3.0,49.589666466499999
"(3789, 13)",1,30.0,0.5,3.0,8.5,5.0,0.818730753078,0.165298888222,10.2666666667,5.0,15.0,0.0,49.589666466499999
"(3790, 1)",1,0.0,1.0,3.0,14.0,4.0,0.818730753078,0.0608100626252,4.0,4.0,0.0,0.0,14.9361205104
"(3790, 3)",1,0.0,1.0,3.0,14.0,4.0,0.818730753078,0.0608100626252,4.0,4.0,0.0,0.0,14.9361205104
"(3790, 4)",1,0.0,1.0,3.0,14.0,4.0,0.0742735782143,0.0608100626252,4.0,4.0,0.0,0.0,14.9361205104
"(3790, 7)",1,0.0,4.0,3.0,17.0,4.0,0.818730753078,0.0333732699603,3.0,4.0,0.0,0.0,8.1971167341899989
"(3790, 10)",1,36.0,1.0,3.0,14.0,4.0,0.818730753078,0.0608100626252,6.33333333333,4.0,18.0,0.0,18.243018787600001
"(3790, 11)",1,36.0,1.0,3.0,14.0,4.0,0.0742735782143,0.0608100626252,6.33333333333,4.0,18.0,3.0,17.6349181613
"(3790, 13)",1,36.0,0.5,3.0,13.5,4.0,0.818730753078,0.0608100626252,6.33333333333,4.0,18.0,0.0,18.243018787600001
"(3797, 1)",1,0.0,1.0,3.0,11.0,1.0,0.818730753078,0.110803158362,6.13333333333,5.0,0.0,0.0,27.215385986799998
"(3797, 3)",1,0.0,1.0,3.0,11.0,1.0,0.135335283237,0.110803158362,10.2666666667,5.0,0.0,0.0,27.215385986799998
"(3797, 8)",1,0.0,4.0,3.0,14.0,1.0,0.135335283237,0.0608100626252,6.13333333333,5.0,0.0,0.0,14.9361205104
"(3797, 10)",1,54.0,1.0,3.0,11.0,1.0,0.818730753078,0.110803158362,10.2666666667,5.0,27.0,0.0,33.240947508699996
"(3797, 11)",1,54.0,1.0,3.0,11.0,1.0,0.818730753078,0.110803158362,10.2666666667,5.0,27.0,3.0,33.240947508699996
"(3797, 13)",1,54.0,0.5,3.0,10.5,1.0,0.818730753078,0.110803158362,10.2666666667,5.0,27.0,0.0,33.240947508699996
"(3798, 1)",1,0.0,1.0,3.0,15.0,1.0,0.0608100626252,0.0497870683679,4.0,4.0,0.0,0.0,12.228661193499999
"(3798, 3)",1,0.0,1.0,3.0,15.0,1.0,0.818730753078,0.0497870683679,4.0,4.0,0.0,0.0,12.228661193499999
"(3798, 7)",1,0.0,4.0,3.0,18.0,1.0,0.818730753078,0.0273237224473,3.0,4.0,0.0,0.0,6.7112315568499996
"(3798, 10)",1,54.0,1.0,3.0,15.0,1.0,0.818730753078,0.0497870683679,6.33333333333,4.0,27.0,0.0,14.9361205104
"(3798, 11)",1,54.0,1.0,3.0,15.0,1.0,0.818730753078,0.0497870683679,6.33333333333,4.0,27.0,3.0,14.9361205104
"(3798, 13)",1,54.0,0.5,3.0,14.5,1.0,0.818730753078,0.0497870683679,6.33333333333,4.0,27.0,0.0,14.9361205104
"(3816, 3)",1,0.0,1.0,3.0,14.0,5.0,0.0742735782143,0.0608100626252,5.0,4.0,0.0,0.0,14.9361205104
"(3816, 4)",1,0.0,1.0,3.0,14.0,5.0,0.0742735782143,0.0608100626252,6.0,4.0,0.0,0.0,14.9361205104
"(3816, 8)",1,0.0,4.0,3.0,17.0,5.0,0.818730753078,0.0333732699603,5.0,4.0,0.0,0.0,8.1971167341899989
"(3816, 9)",1,0.0,1.0,3.0,14.0,5.0,0.818730753078,0.0608100626252,5.0,4.0,0.0,0.0,14.9361205104
"(3816, 11)",1,30.0,1.0,3.0,14.0,5.0,0.818730753078,0.0608100626252,6.0,4.0,15.0,3.0,18.243018787600001
"(3816, 13)",1,30.0,0.5,3.0,13.5,5.0,0.818730753078,0.0608100626252,6.0,4.0,15.0,0.0,18.243018787600001
"(3816, 14)",1,30.0,1.0,3.0,14.0,5.0,0.818730753078,0.0608100626252,6.0,4.0,15.0,0.0,18.243018787600001
"(3823, 0)",1,0.0,4.0,3.0,18.0,2.0,0.818730753078,0.0273237224473,4.0,2.0,0.0,0.0,6.7112315568499996
"(3823, 3)",1,0.0,1.0,3.0,15.0,2.0,0.818730753078,0.0497870683679,4.0,2.0,0.0,0.0,12.228661193499999
"(3823, 5)",1,0.0,1.0,3.0,15.0,2.0,0.818730753078,0.0497870683679,4.0,2.0,0.0,0.0,12.228661193499999
"(3823, 10)",1,48.0,1.0,3.0,15.0,2.0,0.818730753078,0.0497870683679,4.0,2.0,24.0,0.0,14.9361205104
"(3823, 11)",1,48.0,1.0,3.0,15.0,2.0,0.818730753078,0.0497870683679,4.0,2.0,24.0,3.0,14.9361205104
"(3823, 13)",1,48.0,0.5,3.0,14.5,2.0,0.0608100626252,0.0497870683679,4.0,2.0,24.0,0.0,14.9361205104
"(3823, 14)",1,48.0,1.0,3.0,15.0,2.0,0.818730753078,0.0497870683679,4.0,2.0,24.0,0.0,14.9361205104
